//Database Version
@@DATABASE=;VER=1;REV=0;EDIT=18
//Compatibility with the software
@@SOFT=446;VER=1;REV=0
00:0301:02:00:02;0126;04;;;2030;26;met/conf/unit/em/c/display/flow;0;0;0;0;0;
00:0301:02:00:03;0128;04;;;2030;27;met/conf/unit/em/c/display/weight;0;0;0;0;0;
00:F003:00:00:00;012C;11;;;2035;01;met/conf/conv/enable;0;0;1;0;0;
00:0110:00:00:00;012D;02;;;2035;02;met/conf/conv/disp;0;0;1;0;0;
00:F000:00:00:00;012E;01;;;2035;03;met/conf/conv/em/a/formula;0;0;1;0;0;
00:F000:01:00:00;012F;01;;;2035;04;met/conf/conv/em/b/formula;0;0;1;0;0;
00:F001:00:00:00;0130;64;C;;2035;05;met/conf/conv/density_temp;0;0;1;0;15;
00:F002:00:00:00;0132;64;C;;2035;06;met/conf/conv/ref_temp;0;0;1;0;15;
00:295A:00:00:01;0134;64;kg/m3;;2035;07;met/conf/conv/1/density;0;0;0;0;830;
00:295A:00:00:02;0136;64;kg/m3;;2035;08;met/conf/conv/2/density;0;0;0;0;730;
00:295A:00:00:03;0138;64;kg/m3;;2035;09;met/conf/conv/3/density;0;0;0;0;730;
00:295A:00:00:04;013A;64;kg/m3;;2035;0A;met/conf/conv/4/density;0;0;0;0;840;
00:295A:00:00:05;013C;64;kg/m3;;2035;0B;met/conf/conv/5/density;0;0;0;0;740;
00:295A:00:00:06;013E;64;kg/m3;;2035;0C;met/conf/conv/6/density;0;0;0;0;780;
00:295A:00:00:07;0140;64;kg/m3;;2035;0D;met/conf/conv/7/density;0;0;0;0;515;
00:295A:00:00:08;0142;64;kg/m3;;2035;0E;met/conf/conv/8/density;0;0;0;0;585;
00:295A:00:00:09;0144;64;kg/m3;;2035;0F;met/conf/conv/9/density;0;0;0;0;550;
00:295A:00:00:0A;0146;64;kg/m3;;2035;10;met/conf/conv/10/density;0;0;0;0;0;
00:295A:00:00:0B;0148;64;kg/m3;;2035;11;met/conf/conv/11/density;0;0;0;0;0;
00:295A:00:00:0C;014A;64;kg/m3;;2035;12;met/conf/conv/12/density;0;0;0;0;0;
00:295A:00:00:0D;014C;64;kg/m3;;2035;13;met/conf/conv/13/density;0;0;0;0;0;
00:295A:00:00:0E;014E;64;kg/m3;;2035;14;met/conf/conv/14/density;0;0;0;0;0;
00:295A:00:00:0F;0150;64;kg/m3;;2035;15;met/conf/conv/15/density;0;0;0;0;0;
